"";"eRemoved";"nRemoved"
"12199";394034;388713
"12217";401647;379127
"12226";390161;390475
"12227";388320;387539
"12229";394705;387339
"12234";392410;392250
"12312";392816;388801
"12316";386650;389620
"12318";394240;394990
"12326";396013;398330
"12327";395586;395533
"12335";395291;398222
"12341";396405;402592
"12345";389386;397761
"12357";393718;397401
"12359";395599;398469
"12417";389686;398638
"12444";393580;396500
"12449";391564;395573
"12459";390950;399400
"12470";396283;402837
"12485";393635;398225
"12488";394315;394820
"12492";395647;398271
"12502";397771;401623
"12514";377172;397686
"12522";378009;397554
"12526";378252;397262
"12528";377533;397753
"12530";378444;396681
"12536";378153;393275
"12543";377218;387835
"12559";375931;396167
"12560";376239;389383
"12564";375339;390344
"12589";379268;393686
"12612";379484;396915
"12619";379528;396810
"12625";376886;389217
"12626";379770;396110
"12652";379506;397364
"12664";375840;396120
"12669";382380;397184
"12677";377650;397840
"12692";373480;392740
"12704";375353;390371
"12706";378313;396554
"12713";379170;396470
"12736";377730;397830
"12749";378810;397270
"12823";357100;411089
"12835";368662;402783
"12836";371166;402625
"12847";365199;401181
"12848";358285;404844
"12865";362810;399482
"12906";368395;402783
"12948";358224;399566
"12950";357390;405620
"12957";361079;405908
"12963";357220;405757
"12967";361450;401900
"12998";357240;405606
"13003";363445;396338
"13005";360622;406244
"13007";357177;405717
"13015";368700;398000
"13016";361200;405700
"13070";355421;406598
"13071";371161;402608
"13079";371388;401627
"13085";368490;398697
"13090";357847;400614
"13191";361023;405709
"13199";356927;410844
"13400";358720;401670
"13403";368477;402773
"13414";347760;411400
"13416";357040;411190
"13418";357860;400680
"13419";357111;410981
"13427";362782;401533
"13436";360812;406559
"13440";369692;429082
"13442";369900;420900
"13465";367400;427700
"13487";369394;423926
"13515";370660;429240
"13516";370500;419500
"13519";368760;423534
"13522";366591;464730
"13531";369900;421400
"13534";368800;429000
"13536";369800;428800
"13549";369512;421806
"13552";369615;421379
"13557";369586;424627
"13573";367900;427100
"13580";333900;433600
"13618";333786;433122
"13634";333800;432800
"13636";332800;433900
"13643";332200;439800
"13681";332600;438300
"13688";384646;432088
"13738";383800;432900
"13739";386071;438531
"13746";380951;431519
"13764";381855;432210
"13774";379515;433592
"13777";383591;432926
"13789";386263;434487
"13847";379146;433581
"13854";385150;433300
"13855";386150;434150
"13879";383817;432795
"13907";378400;433200
"13949";356900;421800
"13959";356720;421920
"13962";358500;418500
"13966";359158;413178
"13969";355939;413510
"13977";356412;417246
"13979";357200;415600
"14037";361185;423223
"14039";349420;420400
"14040";356500;417400
"14041";358534;417952
"14049";333700;444600
"14095";339658;435487
"14096";338234;428272
"14112";340200;432600
"14113";333177;430811
"14124";345430;428260
"14127";337800;428800
"14185";342220;431140
"14194";338824;428613
"14197";336950;433950
"14200";333090;446180
"14203";335700;431000
"14213";341514;432664
"14221";345431;428266
"14222";375951;431337
"14225";375556;428491
"14226";374228;432254
"14245";373572;430580
"14251";377235;422890
"14253";376000;430500
"14311";376889;430400
"14330";374080;432152
"14333";375800;431200
"14363";375350;428503
"14376";373396;427164
"14384";375895;431085
"14388";374378;431845
"14400";375420;433240
"14403";345600;462500
"14404";346300;461580
"14422";345722;462379
"14437";341615;459562
"14440";346230;462450
"14441";344600;462900
"14462";345030;462530
"14468";344993;463251
"14481";350386;455011
"14482";0;0
"14540";350883;451556
"14541";344400;462800
"14542";344355;462762
"14544";345193;462959
"14547";350620;471700
"14605";342450;459230
"14615";345000;462900
"14637";344490;463175
"14647";340220;460380
"14649";344715;463034
"14651";348900;455200
"14652";344500;462900
"14666";346300;461600
"14670";344850;463270
"14714";340221;460382
"14772";346900;459200
"14775";385820;438222
"14789";387300;439300
"14812";387916;439629
"14824";390138;445056
"14838";385900;438500
"14844";387800;447200
"14902";382620;435309
"14904";388300;444800
"14909";357660;431903
"14910";357754;433079
"14915";354300;430400
"14931";345710;428840
"14932";354925;429840
"14933";357882;433086
"14938";351500;433900
"14945";357611;431915
"14947";357978;433083
"15009";357200;437500
"15034";350753;434421
"15038";349650;429350
"15058";350600;431700
"15124";357600;431800
"15143";357629;432078
"15185";351501;433962
"15188";357520;432640
"15220";347100;428800
"15225";346190;428710
"15226";353700;432800
"15230";372600;440300
"15231";375470;442620
"15237";372614;440304
"15297";360400;436800
"15355";384558;421322
